Saint Louis - Javon Bess,"['85/245', '27/79', '8/25', '4/7', '1/4', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0']"
Butler - Paul Jorgensen,"['61/171', '24/56', '6/23', '2/6', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Saint Louis - Carte'Are Gordon,"['11/24', '5/7', '1/3', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Butler - Kamar Baldwin,"['81/210', '28/74', '7/25', '2/6', '1/2', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Saint Louis - Dion Wiley,"['27/83', '5/19', '1/5', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Saint Louis - Jordan Goodwin,"['39/139', '8/32', '2/7', '1/2', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Saint Louis - Tramaine Isabell Jr.,"['53/168', '12/46', '3/12', '0/3', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Butler - Henry Baddley,"['20/62', '6/18', '2/4', '1/2', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Butler - Aaron Thompson,"['14/45', '6/12', '1/2', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Saint Louis - Hasahn French,"['25/76', '3/16', '1/2', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Butler - Christian David,"['6/27', '1/3', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Saint Louis - Fred Thatch Jr.,"['14/63', '4/10', '1/3', '1/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Butler - Jerald Gillens-Butler,"['1/7', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Saint Louis - D.J. Foreman,"['4/18', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
BYU - Yoeli Childs,"['85/207', '35/78', '12/32', '4/12', '0/4', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
BYU - Zac Seljaas,"['35/95', '8/32', '1/4', '1/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Weber State - Jerrick Harding,"['74/172', '19/69', '9/18', '1/9', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Weber State - Brekkott Chapman,"['63/135', '21/58', '6/15', '2/5', '1/2', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0']"
Weber State - Cody John,"['62/149', '14/58', '5/11', '2/3', '1/2', '1/1', '0/0', '0/0', '0/0', '0/0', '0/0']"
BYU - Dalton Nixon,"['3/24', '0/2', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Weber State - Israel Barnes,"['30/91', '8/26', '0/7', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
BYU - Luke Worthington,"['3/17', '1/1', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
BYU - TJ Haws,"['62/168', '22/59', '10/19', '3/8', '0/3', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Weber State - Ricky Nelson,"['7/21', '1/4', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Weber State - Michal Kozak,"['14/44', '3/10', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
